,tokens,pos_tags
0,"['Rockwell', 'International', 'Corp.', ""'s"", 'Tulsa', 'unit', 'said', 'it', 'signed', 'a', 'tentative', 'agreement', 'extending', 'its', 'contract', 'with', 'Boeing', 'Co.', 'to', 'provide', 'structural', 'parts', 'for', 'Boeing', ""'s"", '747', 'jetliners', '.']","['NNP', 'NNP', 'NNP', 'POS', 'NNP', 'NN', 'VBD', 'PRP', 'VBD', 'DT', 'JJ', 'NN', 'VBG', 'PRP$', 'NN', 'IN', 'NNP', 'NNP', 'TO', 'VB', 'JJ', 'NNS', 'IN', 'NNP', 'POS', 'CD', 'NNS', '.']"
1,"['Rockwell', 'said', 'the', 'agreement', 'calls', 'for', 'it', 'to', 'supply', '200', 'additional', 'so-called', 'shipsets', 'for', 'the', 'planes', '.']","['NNP', 'VBD', 'DT', 'NN', 'VBZ', 'IN', 'PRP', 'TO', 'VB', 'CD', 'JJ', 'JJ', 'NNS', 'IN', 'DT', 'NNS', '.']"
2,"['These', 'include', ',', 'among', 'other', 'parts', ',', 'each', 'jetliner', ""'s"", 'two', 'major', 'bulkheads', ',', 'a', 'pressure', 'floor', ',', 'torque', 'box', ',', 'fixed', 'leading', 'edges', 'for', 'the', 'wings', 'and', 'an', 'aft', 'keel', 'beam', '.']","['DT', 'VBP', ',', 'IN', 'JJ', 'NNS', ',', 'DT', 'NN', 'POS', 'CD', 'JJ', 'NNS', ',', 'DT', 'NN', 'NN', ',', 'NN', 'NN', ',', 'VBN', 'VBG', 'NNS', 'IN', 'DT', 'NNS', 'CC', 'DT', 'JJ', 'NN', 'NN', '.']"
3,"['Under', 'the', 'existing', 'contract', ',', 'Rockwell', 'said', ',', 'it', 'has', 'already', 'delivered', '793', 'of', 'the', 'shipsets', 'to', 'Boeing', '.']","['IN', 'DT', 'VBG', 'NN', ',', 'NNP', 'VBD', ',', 'PRP', 'VBZ', 'RB', 'VBN', 'CD', 'IN', 'DT', 'NNS', 'TO', 'NNP', '.']"
4,"['Rockwell', ',', 'based', 'in', 'El', 'Segundo', ',', 'Calif.', ',', 'is', 'an', 'aerospace', ',', 'electronics', ',', 'automotive', 'and', 'graphics', 'concern', '.']","['NNP', ',', 'VBN', 'IN', 'NNP', 'NNP', ',', 'NNP', ',', 'VBZ', 'DT', 'NN', ',', 'NNS', ',', 'JJ', 'CC', 'NNS', 'VBP', '.']"
5,"['Frank', 'Carlucci', 'III', 'was', 'named', 'to', 'this', 'telecommunications', 'company', ""'s"", 'board', ',', 'filling', 'the', 'vacancy', 'created', 'by', 'the', 'death', 'of', 'William', 'Sobey', 'last', 'May', '.']","['NNP', 'NNP', 'NNP', 'VBD', 'VBN', 'TO', 'DT', 'NNS', 'NN', 'POS', 'NN', ',', 'VBG', 'DT', 'NN', 'VBN', 'IN', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'JJ', 'NNP', '.']"
6,"['Mr.', 'Carlucci', ',', '59', 'years', 'old', ',', 'served', 'as', 'defense', 'secretary', 'in', 'the', 'Reagan', 'administration', '.']","['NNP', 'NNP', ',', 'CD', 'NNS', 'JJ', ',', 'VBN', 'IN', 'NN', 'NN', 'IN', 'DT', 'NNP', 'NN', '.']"
7,"['In', 'January', ',', 'he', 'accepted', 'the', 'position', 'of', 'vice', 'chairman', 'of', 'Carlyle', 'Group', ',', 'a', 'merchant', 'banking', 'concern', '.']","['IN', 'NNP', ',', 'PRP', 'VBD', 'DT', 'NN', 'IN', 'NN', 'NN', 'IN', 'NNP', 'NNP', ',', 'DT', 'NN', 'NN', 'NN', '.']"
8,"['SHEARSON', 'LEHMAN', 'HUTTON', 'Inc', '.']","['NNP', 'NNP', 'NNP', 'NNP', '.']"
9,"['Thomas', 'E.', 'Meador', ',', '42', 'years', 'old', ',', 'was', 'named', 'president', 'and', 'chief', 'operating', 'officer', 'of', 'Balcor', 'Co.', ',', 'a', 'Skokie', ',', 'Ill.', ',', 'subsidiary', 'of', 'this', 'New', 'York', 'investment', 'banking', 'firm', '.']","['NNP', 'NNP', 'NNP', ',', 'CD', 'NNS', 'JJ', ',', 'VBD', 'VBN', 'NN', 'CC', 'JJ', 'VBG', 'NN', 'IN', 'NNP', 'NNP', ',', 'DT', 'NNP', ',', 'NNP', ',', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NN', 'NN', 'NN', '.']"
